day,name,address,city,codes,map
"Sunday, 08:00 PM",AA Birthday,7511 Gourmet Alley,Gilroy,"O,Wh","http://maps.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=7511+Gourmet+Alley,+Gilroy,+CA&sll=37.277003,-121.952999&sspn=0.092611,0.153809&g=95008&ie=UTF8&z=16"
"Sunday, 08:00 PM",New People's Group (chips last Sun. of mo.),"Church of Christ: 400 W. Campbell Avenue, west of Winchester Blvd.",Campbell,"O,Wh","http://maps.google.com/maps?q=400+W.+Campbell+Ave+campbell,+ca&spn=0.021797,0.036489&hl=en"
"Sunday, 07:00 PM",Speaker Discussion,"Saturday Nite Live Group: 1388 S. Bascom Ave., at Stokes St.","San Jose, Willow Glen","O,Wh","http://maps.google.com/maps?q=1388+S.+Bascom+Ave,+san+jose+ca&hl=en"
"Sunday, 02:00 PM",Afternoon Topic Discussion,"Saturday Nite Live Group: 1388 S. Bascom Ave., at Stokes St.","San Jose, Willow Glen","O,Wh","http://maps.google.com/maps?q=1388+S.+Bascom+Ave,+san+jose+ca&hl=en"
"Friday, 07:00 AM",Daily Reflection,"South County Fellowship: 18675 Adams Ct., Suite N",Morgan Hill,"O,Wh","http://maps.google.com/maps?q=18675+Adams+Ct+morgan+hill,+ca&hl=en"
"Sunday, 07:30 AM",Very Early Spiritual Progress,Los Gatos Masonic Hall:  131 E. Main,Los Gatos,"O,Wh","http://maps.google.com/maps?f=q&hl=en&q=131+E+Main+St,+Los+Gatos,+CA+95030&ll=37.222127,-121.978369&spn=0.015036,0.042915"
"Sunday, 09:15 AM",Early Spiritual Progress (babysitting available),Los Gatos Masonic Hall:  131 E. Main,Los Gatos,"O,Wh","http://maps.google.com/maps?f=q&hl=en&q=131+E+Main+St,+Los+Gatos,+CA+95030&ll=37.222127,-121.978369&spn=0.015036,0.042915"
"Sunday, 11:30 AM",Spiritual Progress Group,Los Gatos Masonic Hall:  131 E. Main,Los Gatos,"O,Wh","http://maps.google.com/maps?f=q&hl=en&q=131+E+Main+St,+Los+Gatos,+CA+95030&ll=37.222127,-121.978369&spn=0.015036,0.042915"
"Sunday, 07:30 PM",Downtowner Group,Los Gatos Masonic Hall:  131 E. Main,Los Gatos,"O,Wh","http://maps.google.com/maps?f=q&hl=en&q=131+E+Main+St,+Los+Gatos,+CA+95030&ll=37.222127,-121.978369&spn=0.015036,0.042915"
"Friday, 12:00 PM",In the Chapel,Palo Alto Veterans Administration Hospital: 3801 Miranda Ave.,Palo Alto,"O,Wh","http://maps.google.com/maps?q=3801+Miranda+Ave.,Palo+Alto,+CA&ll=37.403870,-122.142116&spn=0.029541,0.055607&hl=en"
"Sunday, 07:30 PM",Sunday Night Survivors,"South County Fellowship: 18675 Adams Ct., Suite N",Morgan Hill,"O,Wh","http://maps.google.com/maps?q=18675+Adams+Ct+morgan+hill,+ca&hl=en"
"Sunday, 08:00 PM",Get Well Group (chip),El Camino Hospital: Grant Rd. & North Dr. (Rm G),Mountain View,"O,Wh","http://maps.google.com/maps?q=Grant+Rd.+%26+South+Dr+mountain+view,+ca&spn=0.021774,0.036489&hl=en"
"Sunday, 11:15 AM",Speaker Meeting,"Veterans Administration: 3801 Miranda Ave, off Arastradero, bldg. 101",Palo Alto,"O,Wh","http://maps.google.com/maps?q=3801+Miranda+Ave+palo+alto,+ca&spn=0.021764,0.036489&hl=en"
"Sunday, 01:00 PM",Stepping Free,"Moffett Central Shopping Center: 327 B Moffett Blvd., between Central Expwy & Middlefield",Mountain View,"O,Wh","http://maps.google.com/maps?q=327+Moffett+Blvd,+Mountain+View,+CA+94043&spn=0.028437,0.039710&hl=en"
"Sunday, 07:00 PM",New Steps for Living,"Unity Palo Alto Community Church: 3391 Middlefield Rd., near Ames Ave",Palo Alto,"O,Wh","http://maps.google.com/maps?q=3391+Middlefield+Rd.+palo+alto,+ca&spn=0.021757,0.036489&hl=en"
"Sunday, 10:30 AM",Gay Living Sober Group,"Kaiser Hospital, Medical Office Bldg.:  710 Lawrence Expressway, Conf. Rm. 196",Santa Clara,"G,L,O,Wh","http://maps.google.com/maps?f=q&hl=en&geocode=&q=710+Lawrence+Expressway,+Santa+Clara,+CA&sll=37.0625,-95.677068&sspn=45.736609,81.738281&ie=UTF8&z=16&om=1"
"Sunday, 08:00 PM",Sunday Night Recovery,St. Francis Episcopal Church:  1205 Pine at Newport,"San Jose, Willow Glen","O,Wh","http://maps.google.com/maps?f=q&hl=en&q=1205+Pine+Ave.,+San+Jose,+CA&sll=37.0625,-95.677068&sspn=50.777825,82.265625&layer=&ie=UTF8&z=17&om=1&iwloc=addr"
"Sunday, 4:30 PM",New Live and Let Live,East Valley Pentacostal Church:  2715 S. White Rd,"San Jose, East","O,Wh","http://maps.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=2715+South+White+Road,+San+Jose,+CA&aq=0&sll=37.326796,-121.787953&sspn=0.018018,0.052314&ie=UTF8&hq=&hnear=2715+S+White+Rd,+San+Jose,+Santa+Clara,+California+95148&z=16"
"Tuesday, 07:00 PM","New Beginnings Group (Adults only, please)",Emergency Housing Consortium:  2011 Little Orchard St.,"San Jose, South","O,Wh","http://maps.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=2011+Little+Orchard+St.,+San+Jose,+CA&sll=37.320052,-121.877636&sspn=0.734994,1.230469&ie=UTF8&z=16&iwloc=addr"
"Saturday, 10:00 AM",Sat. Men's Honesty Group (breakfast at 9:00 AM),"Four Points Summit Steakhouse: 399 Silicon Valley Blvd., Hwy. 101 & Bernal Rd.","San Jose, South","M,C","http://maps.google.com/maps?q=399+Silicon+Valley+Blvd+san+jose,+ca&spn=0.021809,0.036489&hl=en"
"Sunday, 09:00 AM",Sizzler Group (breakfast at 8:00 AM),"Denny's Restaurant: 2060 S. Bascom Ave., just south of Campbell Ave.",Campbell,"O,Wh","http://maps.google.com/maps?q=2060+S.+Bascom+Ave+campbell,+ca&spn=0.021798,0.036489&hl=en"
"Wednesday, 12:00 PM",The Family After,"Trinity Episcopal Cathedral:  81 N. 2nd St., & W. St. John, downstairs","San Jose, Downtown",O,"http://maps.google.com/maps?q=81+N.+2nd+St+san+jose,+ca&spn=0.021783,0.036489&hl=en"
"Sunday, 08:00 PM",Almaden Valley Discussion,Shepherd of the Valley Lutheran Church: 1281 Redmond Ave. & Meridian,"San Jose, South",O,"http://maps.google.com/maps?q=1281+Redmond+Ave+san+jose,+ca&spn=0.021814,0.036489&hl=en"
"Saturday, 10:00 AM",Living in the Solution (women only),"Advent Lutheran Church: 16870 Murphy Ave., btwn. Tennant & Dunne",Morgan Hill,"W,C","http://maps.google.com/maps?q=16870+Murphy+Ave,+morgan+hill,+ca&hl=en"
"Friday, 10:30 AM",As Bill Sees It,"Serenity First Fellowship: 304 N. 6th St, at Julian (upstairs)","San Jose, downtown",O,"http://maps.google.com/maps?q=304+N+6th+St,+San+Jose,+CA+95112&hl=en"
"Sunday, 12:00 PM","Me, A.A., and God (downstairs)",Alano Club of San Jose: 1122 Fair Ave. & McLaughlin (btwn. Tully & Story),"San Jose, East",O,"http://maps.google.com/maps?q=1122+Fair+Ave,+san+jose+ca&spn=0.020508,0.035397&hl=en"
"Saturday, 07:00 PM",Meditation Meeting,Christ Episcopal Church: 1040 Border Rd. near University & El Monte,Los Altos,O,"http://maps.google.com/maps?q=1040+Border+Rd+los+altos,+ca&spn=0.021775,0.036489&hl=en"
"Sunday, 7:30 PM",Seekers Group,Alano Club of San Jose: 1122 Fair Ave. & McLaughlin (btwn. Tully & Story),"San Jose, East",O,"http://maps.google.com/maps?q=1122+Fair+Ave,+san+jose+ca&spn=0.020508,0.035397&hl=en"
"Sunday, 07:30 PM",Gay Grab Bag Solution,"First Unitarian Church of San Jose: 160 N. 3rd St., at St. James","San Jose, Downtown","O,G,L","http://maps.google.com/maps?q=160+N.+3rd+St.+san+jose+ca&spn=0.021782,0.036489&hl=en"
"Sunday, 08:00 PM",Gathered Together for Sobriety (chips last Sunday),St. Edward's Episcopal Church:  15040 Union Ave. @ Hwy 85,"San Jose, South","O,Wh",http://goo.gl/maps/PbJpL
"Sunday, 08:00 PM",Invaders Group,"Christ Community Church: 1000 S. Park Victoria, at Clear Lake",Milpitas,O,"http://maps.google.com/maps?q=1000+S.+Park+Victoria+milpitas,+ca&spn=0.021758,0.036489&hl=en"
"Sunday, 08:30 AM",Eastside Step Study,Alum Rock United Methodist Church: 30 Kirk Ave.,"San Jose, East",O,"http://maps.google.com/maps?q=30+Kirk+Ave+san+jose,+ca&spn=0.021772,0.036489&hl=en"
"Sunday, 11:00 AM",Santa Clara Sunday,Bowers Park: 2582 Cabrillo & San Tomas Expwy.,Santa Clara,"O,Wh","http://maps.google.com/maps?q=2582+Cabrillo+Ave,+Santa+Clara,+CA+95051&spn=0.021776,0.036489&hl=en"
"Wednesday, 12:00 PM",Back to Basics Big Book Study,7511 Gourmet Alley,Gilroy,"O,Wh","http://maps.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=7511+Gourmet+Alley,+Gilroy,+CA&sll=37.277003,-121.952999&sspn=0.092611,0.153809&g=95008&ie=UTF8&z=16"
"Sunday, 03:00 PM",12 Steps Discussion,"Presbyterian Church of Sunnyvale, 728 W. Fremont Ave., at Hollenbeck",Sunnyvale,"O,Wh","http://maps.google.com/maps?q=728+W.+Fremont+Ave.+sunnyvale,+ca&hl=en&ie=UTF8&z=16&iwloc=addr"
"Sunday, 07:00 PM",Meditation Meeting,St. Luke's Lutheran Church: 1025 The Dalles & Wright,Sunnyvale,"O,Wh","http://maps.google.com/maps?f=q&hl=en&q=1025+The+Dalles,+Sunnyvale,+CA&ll=37.346757,-122.056131&spn=0.014738,0.031114"
"Sunday, 07:30 PM",Plaza Del Rey Group (Chips last Sunday of month),"Plaza del Rey, East Club House: 1220 Vienna Dr., Sunnyvale",Sunnyvale,"O,Wh","http://maps.google.com/maps?q=1220+Vienna+Dr+sunnyvale,+ca&spn=0.021764,0.036489&hl=en"
"Monday, 12:00 PM",Keys to the Kingdom Step,"Saturday Nite Live Group: 1388 S. Bascom Ave., at Stokes St.","San Jose, Willow Glen","O,Wh","http://maps.google.com/maps?q=1388+S.+Bascom+Ave,+san+jose+ca&hl=en"
"Monday, 06:00 PM",After Work Topic Meeting,"Saturday Nite Live Group: 1388 S. Bascom Ave., at Stokes St.","San Jose, Willow Glen","O,Wh","http://maps.google.com/maps?q=1388+S.+Bascom+Ave,+san+jose+ca&hl=en"
"Monday, 08:00 PM",Beginners Meeting (chips),"Saturday Nite Live Group: 1388 S. Bascom Ave., at Stokes St.","San Jose, Willow Glen","O,Wh","http://maps.google.com/maps?q=1388+S.+Bascom+Ave,+san+jose+ca&hl=en"
"Monday, 08:00 PM",Monday Night Survivors,7511 Gourmet Alley,Gilroy,"O,Wh","http://maps.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=7511+Gourmet+Alley,+Gilroy,+CA&sll=37.277003,-121.952999&sspn=0.092611,0.153809&g=95008&ie=UTF8&z=16"
